"distribution";"density_fun";"dist_density";"no_of_parameters";"default_location";"default_scale";"default_skewness";"default_kurtosis";"default_binomial_denominator";"discrete_flag";"dist_type";"location_lower_condition";"location_upper_condition";"scale_lower_condition";"scale_upper_condition";"skewness_lower_condition";"skewness_upper_condition";"kurtosis_lower_condition";"kurtosis_upper_condition";"x_lower_condition";"x_upper_condition";"fun_call";"location_lower_bound";"location_upper_bound";"scale_lower_bound";"scale_upper_bound";"skewness_lower_bound";"skewness_upper_bound";"kurtosis_lower_bound";"kurtosis_upper_bound";"x_lower_bound";"x_upper_bound"
"Skew t type 5";"dST5";"Skew t type 5 - dST5";4;0;1;0;1;NA;0;"continuous";NA;NA;"<0";NA;NA;NA;"<0";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;"0";NA;NA;NA
"t-distribution";"dTF";"t-distribution - dTF";3;0;1;10;NA;NA;0;"continuous";NA;NA;"<=0";NA;"<=0";NA;NA;NA;NA;NA;"dNO";NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA
"t-distribution";"dTF2";"t-distribution - dTF2";3;0;1;10;NA;NA;0;"continuous";NA;NA;"<=0";NA;"<=0";NA;NA;NA;NA;NA;"dNO";NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA
"Waring";"dWARING";"Waring - dWARING";2;2;2;NA;NA;NA;1;"discrete";"<0";NA;"<0";NA;NA;NA;NA;NA;"<0";NA;NA;0;NA;0;NA;NA;NA;NA;NA;"0";NA
"Weibull";"dWEI";"Weibull - dWEI";2;1;1;NA;NA;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Weibull(PH parameterization)";"dWEI2";"Weibull(PH parameterization) - dWEI2";2;1;1;NA;NA;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Weibull (mu as mean)";"dWEI3";"Weibull (mu as mean) - dWEI3";2;1;1;NA;NA;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Yule";"dYULE";"Yule - dYULE";1;2;NA;NA;NA;NA;1;"discrete";"<0";NA;NA;NA;NA;NA;NA;NA;"<0";NA;NA;0;NA;NA;NA;NA;NA;NA;NA;"0";NA
"Zero adjusted beta binomial";"dZABB";"Zero adjusted beta binomial - dZABB";3;0.5;0.1;0.1;NA;1;1;"discrete";"<=0";">=1";"<=0";NA;"<=0";">=1";NA;NA;"<0";NA;"dBB";1e-10;0.9999999;1e-10;NA;1e-10;0.9999999;NA;NA;"0";NA
"Zero adjusted binomial";"dZABI";"Zero adjusted binomial - dZABI";2;0.5;0.1;NA;NA;1;1;"discrete";"<=0";">=1";"<=0";">=1";NA;NA;NA;NA;"<0";NA;"dBI";1e-10;0.9999999;1e-10;0.9999999;NA;NA;NA;NA;"0";NA
"Zero adjusted beta neg. bin.";"dZABNB";"Zero adjusted beta neg. bin. - dZABNB";4;1;1;1;0.1;NA;1;"discrete";"<=0";NA;"<=0";NA;NA;NA;"<=0";">=1";"<0";NA;"dBNB";1e-10;NA;1e-10;NA;NA;NA;"1e-10";0.9999999;"0";NA
"Zero adjusted Gamma";"dZAGA";"Zero adjusted Gamma - dZAGA";3;1;1;0.1;NA;NA;2;"mixed";"<0";NA;"<0";NA;"<0";">1";NA;NA;"<0";NA;NA;0;NA;0;NA;0;1;NA;NA;"0";NA
"Zero adjusted IG";"dZAIG";"Zero adjusted IG - dZAIG";3;1;1;0.1;NA;NA;2;"mixed";"<0";NA;"<0";NA;NA;NA;NA;NA;"<0";NA;NA;0;NA;0;NA;NA;NA;NA;NA;"0";NA
"Zero adjusted logarithmic";"dZALG";"Zero adjusted logarithmic - dZALG";2;0.5;0.1;NA;NA;NA;1;"discrete";"<=0";">=1";"<=0";">=1";NA;NA;NA;NA;"<0";NA;"dLG";1e-10;0.9999999;1e-10;0.9999999;NA;NA;NA;NA;"0";NA
